"id","year","sum"
"1",1966,16
"2",1984,6
"3",1991,23
"4",1992,0
"5",1995,5
"6",1999,7
"7",2005,2
"8",2009,13
"9",2013,4
"10",2014,3
"11",2015,19
"12",2016,13
